lucode,count,area(ha)
11,300330,279899.353904
21,1204360,1122430.612550
22,393241,366489.867241
23,95001,88538.336231
24,32103,29919.118831
31,10434,9724.202906
41,2235679,2083591.741204
42,21279,19831.446581
43,33308,31042.145906
52,58888,54882.006968
71,1024007,954346.544443
81,3791151,3533249.144110
82,14305754,13332571.843315
90,326393,304189.357769
95,185046,172457.815877
128,21970695,20476087.421541
