lucode,count,area(ha)
-128,594893,14872325.000000
0,1531,38275.000000
1,1371,34275.000000
2,22,550.000000
3,329,8225.000000
4,4773,119325.000000
5,3277,81925.000000
6,105,2625.000000
7,24,600.000000
8,840,21000.000000
9,50,1250.000000
10,1121,28025.000000
11,790,19750.000000
12,661204,16530100.000000
13,6098,152450.000000
14,213483,5337075.000000
16,310,7750.000000
