lucode,count,area(ha)
11,3115043,280353.870000
21,12503911,1125351.990000
22,4067355,366061.950000
23,984525,88607.250000
24,331278,29815.020000
31,107930,9713.700000
41,23149707,2083473.630000
42,220845,19876.050000
43,346226,31160.340000
52,608208,54738.720000
71,10611419,955027.710000
81,39257756,3533198.040000
82,148116712,13330504.080000
90,3375386,303784.740000
95,1913946,172255.140000
128,227502529,20475227.610000
