lucode,count,area(ha)
-128,9813031,245325775.000000
0,19806,495150.000000
1,787,19675.000000
2,1547114,38677850.000000
3,38,950.000000
4,19864,496600.000000
5,10739,268475.000000
6,4585,114625.000000
7,6115,152875.000000
8,511676,12791900.000000
9,4212695,105317375.000000
10,186609,4665225.000000
11,84588,2114700.000000
12,499642,12491050.000000
13,34393,859825.000000
14,613479,15336975.000000
16,1539,38475.000000
